size,type,threshold,time_ms
2800,almost,5,0.21
2800,almost,10,0.192
2800,almost,20,0.182
2800,almost,30,0.155
2800,almost,50,0.145
2900,random,0,0.387
2900,random,5,0.358
2900,random,10,0.345
2900,random,20,0.309
2900,random,30,0.305
2900,random,50,0.309
2900,reversed,0,0.203
2900,reversed,5,0.178
2900,reversed,10,0.159
2900,reversed,20,0.154
2900,reversed,30,0.169
2900,reversed,50,0.236
2900,almost,0,0.25
2900,almost,5,0.202
2900,almost,10,0.199
2900,almost,20,0.182
2900,almost,30,0.148
2900,almost,50,0.14
3000,random,0,0.376
3000,random,5,0.375
3000,random,10,0.464
3000,random,20,0.335
3000,random,30,0.328
3000,random,50,0.386
3000,reversed,0,0.22
3000,reversed,5,0.19
3000,reversed,10,0.18
3000,reversed,20,0.159
3000,reversed,30,0.184
3000,reversed,50,0.259
3000,almost,0,0.254
3000,almost,5,0.234
3000,almost,10,0.209
3000,almost,20,0.185
3000,almost,30,0.164
3000,almost,50,0.162
3100,random,0,0.428
3100,random,5,0.419
3100,random,10,0.381
3100,random,20,0.346
3100,random,30,0.345
3100,random,50,0.433
3100,reversed,0,0.403
3100,reversed,5,0.212
3100,reversed,10,0.175
3100,reversed,20,0.178
3100,reversed,30,0.253
3100,reversed,50,0.302
3100,almost,0,0.289
3100,almost,5,0.334
3100,almost,10,0.214
3100,almost,20,0.19
3100,almost,30,0.176
3100,almost,50,0.174
3200,random,0,0.605
3200,random,5,0.48
3200,random,10,0.6
3200,random,20,0.421
3200,random,30,0.359
3200,random,50,0.383
3200,reversed,0,0.244
3200,reversed,5,0.247
3200,reversed,10,0.323
3200,reversed,20,0.242
3200,reversed,30,0.195
3200,reversed,50,0.282
3200,almost,0,0.269
3200,almost,5,0.232
3200,almost,10,0.213
3200,almost,20,0.229
3200,almost,30,0.259
3200,almost,50,0.217
3300,random,0,0.512
3300,random,5,0.472
3300,random,10,0.388
3300,random,20,0.462
3300,random,30,0.455
3300,random,50,0.421
3300,reversed,0,0.246
3300,reversed,5,0.216
3300,reversed,10,0.195
3300,reversed,20,0.174
3300,reversed,30,0.205
3300,reversed,50,0.28
3300,almost,0,0.34
3300,almost,5,0.249
3300,almost,10,0.222
3300,almost,20,0.204
3300,almost,30,0.178
3300,almost,50,0.174
3400,random,0,0.483
3400,random,5,0.43
3400,random,10,0.398
3400,random,20,0.376
3400,random,30,0.376
3400,random,50,0.374
3400,reversed,0,0.299
3400,reversed,5,0.282
3400,reversed,10,0.214
3400,reversed,20,0.181
3400,reversed,30,0.218
3400,reversed,50,0.219
3400,almost,0,0.292
3400,almost,5,0.259
3400,almost,10,0.318
3400,almost,20,0.263
3400,almost,30,0.188
3400,almost,50,0.198
3500,random,0,0.487
3500,random,5,0.439
3500,random,10,0.416
3500,random,20,0.401
3500,random,30,0.386
3500,random,50,0.385
3500,reversed,0,0.272
3500,reversed,5,0.237
3500,reversed,10,0.209
3500,reversed,20,0.227
3500,reversed,30,0.37
3500,reversed,50,0.238
3500,almost,0,0.328
3500,almost,5,0.26
3500,almost,10,0.232
3500,almost,20,0.203
3500,almost,30,0.186
3500,almost,50,0.186
3600,random,0,0.568
3600,random,5,0.453
3600,random,10,0.449
3600,random,20,0.406
3600,random,30,0.398
3600,random,50,0.415
3600,reversed,0,0.29
3600,reversed,5,0.233
3600,reversed,10,0.213
3600,reversed,20,0.198
3600,reversed,30,0.248
3600,reversed,50,0.252
3600,almost,0,0.418
3600,almost,5,0.262
3600,almost,10,0.245
3600,almost,20,0.214
3600,almost,30,0.195
3600,almost,50,0.193
3700,random,0,0.525
3700,random,5,0.642
3700,random,10,0.441
3700,random,20,0.414
3700,random,30,0.421
3700,random,50,0.415
3700,reversed,0,0.286
3700,reversed,5,0.245
3700,reversed,10,0.215
3700,reversed,20,0.202
3700,reversed,30,0.243
3700,reversed,50,0.242
3700,almost,0,0.312
3700,almost,5,0.269
3700,almost,10,0.328
3700,almost,20,0.232
3700,almost,30,0.198
3700,almost,50,0.199
3800,random,0,0.558
3800,random,5,0.494
3800,random,10,0.512
3800,random,20,0.445
3800,random,30,0.447
3800,random,50,0.405
3800,reversed,0,0.34
3800,reversed,5,0.285
3800,reversed,10,0.265
3800,reversed,20,0.204
3800,reversed,30,0.251
3800,reversed,50,0.269
3800,almost,0,0.328
3800,almost,5,0.296
3800,almost,10,0.254
