N,Area_Narrow,Error_Narrow,Area_Wide,Error_Wide
27100,0.945056826568266,0.000571340232722,0.955138376383764,0.011245100293422
27600,0.938948550724638,0.005895747857169,0.961358695652174,0.017830813461242
28100,0.940246975088968,0.004521051468671,0.940329181494662,0.004434016095550
28600,0.935136363636364,0.009931870381127,0.953872377622378,0.009904734252141
29100,0.949276975945017,0.005039389559673,0.921486254295533,0.024383814236264
29600,0.937238513513514,0.007706236048017,0.935717905405405,0.009316167694375
30100,0.949483720930233,0.005258279155651,0.958023255813953,0.014299443267015
30600,0.945805228758170,0.001363705052629,0.938366013071895,0.006512504927806
31100,0.938090032154341,0.006804697512203,0.929581993569132,0.015812515169969
31600,0.944096202531646,0.000445712766377,0.924177215189874,0.021534780958189
32100,0.942544548286604,0.002088514261369,0.918559190031153,0.027482820064932
32600,0.935011042944785,0.010064552658855,0.939417177914111,0.005399592576493
33100,0.944640483383686,0.000130540223156,0.923376132930514,0.022382920379387
33600,0.943908333333333,0.000644617774266,0.953020833333333,0.009003168561482
34100,0.947147214076246,0.002784521251753,0.955571847507331,0.011704034371106
34600,0.946084393063584,0.001659268023406,0.958403179190751,0.014701684097007
35100,0.943081481481482,0.001520040544964,0.952079772079772,0.008006827502145
35600,0.944712921348315,0.000207233337596,0.945589887640449,0.001135714370262
36100,0.946047091412743,0.001619775199561,0.927063711911357,0.018478725690402
36600,0.937150819672131,0.007799081199690,0.916741803278689,0.029406963722237
37100,0.938403773584906,0.006472526287318,0.942688679245283,0.001935916764118
37600,0.938461702127660,0.006411194906991,0.932433510638298,0.012793494328701
38100,0.936655118110236,0.008323901255158,0.955242782152231,0.011355639063945
38600,0.945456994818653,0.000995015160359,0.932079015544041,0.013168813168368
39100,0.949472122762149,0.005245999688154,0.918280051150895,0.027778356117028
39600,0.944377777777778,0.000147597231439,0.970719696969697,0.027741698575109
40100,0.948351620947631,0.004059677373171,0.947312967581047,0.002960011446400
40600,0.945368965517241,0.000901814843069,0.943793103448276,0.000766616491470
41100,0.936657907542579,0.008320947966023,0.944233576642336,0.000300269027776
41600,0.949812500000000,0.005606371360510,0.953792067307692,0.009819706350177
42100,0.942206650831354,0.002446260483772,0.938099762470309,0.006794395618163
42600,0.941315962441315,0.003389269677608,0.956132629107981,0.012297757395972
43100,0.946104408352668,0.001680459050296,0.943335266821346,0.001251347350543
43600,0.953997247706422,0.010036939452754,0.946846330275229,0.002465962939094
44100,0.947307936507937,0.002954684838069,0.954722222222222,0.010804500410483
44600,0.943094618834081,0.001506131478199,0.960224215246637,0.016629691425059
45100,0.940145011086475,0.004629005039040,0.910737250554324,0.035764235790979
45600,0.945362280701755,0.000894737348253,0.933793859649123,0.011353235717071
46100,0.946676355748373,0.002286003771179,0.949972885032538,0.005776177728178
46600,0.946243776824034,0.001828014302277,0.930316523605150,0.015034837381800
47100,0.944429299363058,0.000093049165985,0.955812101910828,0.011958401795101
47600,0.933591176470588,0.011567824907781,0.958125000000000,0.014407164108483
48100,0.940270270270270,0.004496387882184,0.952749480249480,0.008715875658924
48600,0.942093415637860,0.002566147337272,0.947736625514403,0.003408555887603
49100,0.946325865580448,0.001914925115166,0.975259674134419,0.032548363009065
49600,0.946253225806452,0.001838018336675,0.932086693548387,0.013160684142808
50100,0.931505788423154,0.013775712788030,0.969730538922156,0.026694435420655
50600,0.945177075098814,0.000698652400615,0.944896245059289,0.000401325847199
51100,0.941342465753425,0.003361209508343,0.921746575342466,0.024108201414370
51600,0.947563953488372,0.003225740764057,0.945813953488372,0.001372942290800
52100,0.941579270633398,0.003110494239730,0.960954894433781,0.017403292157849
52600,0.939687452471483,0.005113441555202,0.944600760456274,0.000088483892149
53100,0.940127683615819,0.004647350359712,0.953469868173258,0.009478580599112
53600,0.942902611940299,0.001709417238001,0.938404850746269,0.006471385851359
54100,0.945020702402958,0.000533094062248,0.955545286506469,0.011675913124337
54600,0.939033333333333,0.005805984949769,0.947692307692308,0.003361634748679
55100,0.943295099818512,0.001293873842844,0.933534482758621,0.011627848920911
55600,0.946563669064748,0.002166697648107,0.933952338129496,0.011185447896225
56100,0.943447771836007,0.001132233568030,0.962749554367201,0.019303373977653
56600,0.945178091872792,0.000699728901914,0.940609540636043,0.004137188101771
57100,0.940535201401051,0.004215894170968,0.976352889667250,0.033705796192019
57600,0.942450347222222,0.002188248883236,0.931085069444444,0.014221145634558
58100,0.942828915662651,0.001787442581265,0.949849397590361,0.005645436388561
58600,0.946058361774744,0.001631707604995,0.939654436860068,0.005148396569158
59100,0.941688324873097,0.002995033937549,0.922999153976311,0.022782043825556
59600,0.951041610738255,0.006907682502969,0.977944630872483,0.035391039434806
60100,0.943341430948419,0.001244821130411,0.944330282861897,0.000197882092943
60600,0.946309900990099,0.001898022733094,0.932293729372937,0.012941486623016
61100,0.943212765957447,0.001381044158317,0.917045826513912,0.029085081558777
